Sentence,Label
আমারে সাহায্য করতি কি আপনার অসুবিধা হবি?,Pabna
"একটু হাসেন, দয়া করে।",Cumilla
মন্নান ঠান্ডা অই গিওই,Chittagong
আমার লাইগা একটু দয়া দেখান।,Cumilla
কালকে নিয়ে আসবো,Pabna
"কী সুন্দর গানের লাইনডা, আরেকবার কইবেন নি?",Cumilla
তুুই বেশি সবর গর দে মানুষ,Chittagong
তুই জীবনত বউত দূর যাইবা,Chittagong
কালক্যা সকালে আমি একটু ঢাকা যাব।,Pabna
বেইন্নে জলদি উডিস।,Chittagong
আগে বিশ্রাম নাও বারে,Bogura
তুমি কি নতুন টেকনোলজির লগে আপডেটেড আছো,Bogura
বিশ্বাস অরনা! কেমনে অইল ইটা?,Sylhet
তুই বেয়াগ্গিন ভুল বুঝস।,Chittagong
মাঝে মাঝে কতা কমু।,Cumilla
দুয়ারডা বন্ধ করো।,Cumilla
এটা ঠিক হইল না,Rangpur
দ্যাখ ভালা করিয়া।,Cumilla
তোমার ব্যক্তিত্ব অনেক শক্তিশালী।,Cumilla
মুহে হাসি রাখো,Bogura
ল্যাপটপ ডা চাইলা রাখ,Bogura
আমার লাইগা কিছু মিষ্টি লইয়া আইবেন নি?,Cumilla
হামার পরিচয় জানবার চান,Rangpur
তোমার মুখত হাসি দেখপের চাই।,Rangpur
তুই কি আরে চিনিত পারস নে,Chittagong
আগে এখটু জিরাইয়া লাও।,Sylhet
তুত্তোন কি হনো সাইয্য লাগিবো,Chittagong
"তুই ক, কি করা লাগবে?",Rangpur
আইজক্যা হামরা ঘুরবার যামু।,Bogura
এইডা সম্ভব না।,Pabna
তোমরা গুল্যা এত কতা শিখলেন কোনঠে থাকি,Rangpur
তুই কি আমারে একটু সাহায্য করবি?,Pabna
ইতারা ভালা খেলইয়ে।,Chittagong
এখন কি করবার লাগবো ক।,Pabna
এতো বড় ব্যাপার স্যাপার।,Bogura
জাংলাডা খোলো।,Bogura
দয়া করি তাড়াতাড়ি আইসেন।,Rangpur
বই ইবা পর।,Chittagong
কি সুন্দর গানের লাইনটা আবার কইবেন?,Rangpur
খাম-খান ঠিক করি খরো।,Sylhet
আমি তোমার কথা ভাবতেসিলাম।,Pabna
তুমি কী কইতাছো!,Cumilla
গাঁউত গিয়া হুনইন,Sylhet
তোরা আইসা বড় মনের মানুষের পরিচয় দে।,Pabna
তুমরা আইছো তুরা বও।,Sylhet
ওহ! এতো মজা!,Pabna
তোর বুদ্ধি সবসময় কাজে লাগে।,Rangpur
আইজ্জা স্কুল অত খুব মজা অইয়ে।,Chittagong
তোর ট্যালেন্ট দেখার মতো।,Rangpur
বাইক্কা টিয়া দে।,Chittagong
হামি হইলাম পুরাই বগুড়ার,Bogura
দয়া করে একটু খেয়াল দাও।,Cumilla
গাড়ি চালাবার শুরু কর।,Rangpur
আপনারা মন খারাপ কইরেন না।,Pabna
তোমরা আছেন কেমুন?,Rangpur
হায়রে! কী জ্বালা!,Sylhet
ইয়ান আত্তুন পছন্দ ন,Chittagong
মেহেরবানি গরি আইতে দেরি ন গইজ্জন,Chittagong
তোমরা সবাই কেমন আছেন,Rangpur
হামি দিয়া দিচ্ছি,Bogura
আর মিনিট পাঁচেক লাগবি,Bogura
হায় হায়! কেন্তোন হইল এটা!,Rangpur
উনাকে বইসতে কও,Bogura
তুোয়াত্তু হন ধারণা আছে নে,Chittagong
তোয়ার পছন্দর জিনিসগিন ছাই?,Chittagong
"মেহমান আইছে, চেয়ারডা লইয়া আয়।",Cumilla
এতে কেডো কি কয় এডো আমার দেখার বিষয় না,Bogura
খুব ভ্যালা লাগলো।,Bogura
এইডা ঠিক হইলো না।,Pabna
গ্যাস খুইলা থো,Bogura
হামাক সময় দাও,Bogura
হামি রাস্তাত আছি,Bogura
এই কতা রাইহা তুমরা আসল কতা কও।,Pabna
এই গাছডো মেলা ডাগর।,Bogura
তোয়ার লই আর ন মাইত্তুম,Chittagong
তুঁই হগলতেরে জিগায় দ্যাখ।,Cumilla
সকলি রাইতের খাবার খাইছেন।,Bogura
আঁই জানি না।,Cumilla
আমাদের লগে চল।,Pabna
আঁই কি অঁনের কথা হুনিত পারি নি?,Chittagong
তারে বইতো হ,Chittagong
এক কাফ কফি বানাও।,Sylhet
তুর পছন্দর রেস্টুরেন্ট হন নান,Chittagong
"হামাকে আবার,জানাইয়েন।.",Bogura
অখন রং লাগছে।,Sylhet
আমি যাইতাছি বাপর বাড়িত,Sylhet
কি এখটা বিফদো ফরলাম।,Sylhet
খে কিতা খয় খউক,Sylhet
আঁই কি তুমার সাহায্য লইতে পারি?,Sylhet
হাতাগো দে চাই,Chittagong
মোর মন বসেনা,Rangpur
পারবো না আমি।,Pabna
"বাড়ির,কাম কাজ শ্যাষ করো",Bogura
মুই কি কইম রে,Rangpur
আলু ভর্তা দিয়ে মাহা আর খা!,Pabna
জলদি রেডি হও।,Cumilla
এই খাবারকোনটা ভাল না,Rangpur
ইটা এখটা ভালা সময় খাটানির সুযোগ।,Sylhet
"যা কই,,তা মনে রাইখো।",Bogura
তুমি কি কোনোদিন পার্টিতে যাইতাছো?,Cumilla
অম্পুরের ভাষাই মোর মাতৃভাষা,Rangpur
হন জিতিব মনে হর,Chittagong
এহন খাও খাবার,Bogura
ইগু/ইকটা/ইটা কিতা?,Sylhet
নিজর হজ শেষ গর,Chittagong
হামার ভাষা হামার গর্ব,Rangpur
এলা (অ্যালা) খাবার খা।,Rangpur
এডো কি করলাম রে।,Bogura
ঠিক টাইমে রেডি হইস।,Pabna
এটে মুই রাজি হবার পাংছে না,Rangpur
বাহ।তুমি তো ভালোই শিখছাও।,Bogura
এই ছবিখানা পাঠাও,Bogura
তুমি কতা রাহো না।,Cumilla
কতায় কতায় ইংরেজি কইবো আমাগো সামনে—এইডা আমরা সহ্য করতাম না।,Cumilla
এটা সাবধানে কর।,Rangpur
ইতে পইত্তদিন বেইন্না আডে,Chittagong
ঠিক টাইমে আইও।,Sylhet
কাইকা যামু ওইহানে।,Bogura
মোর ঠ্যাকা পইছছে তোমাক ডায়লোগ শোনেবার যাওছোঁ,Rangpur
হডে তুই।,Chittagong
কাইকা বৃষ্টি হইয়াছিল,Bogura
আমরা ওইদিকের লোক।,Cumilla
এখনা হাসেক।,Rangpur
আমার লাইগা ইকটু জায়গা রাখেন।,Pabna
তুমি কি ভ্রমণ করতে ভালোবাসো?,Cumilla
তোর বাপ এমন সময়ে আচচে,Rangpur
আপনার নাম কিতা?,Chittagong
ইগু ছেশ,Sylhet
আমি তুরা-একজরা জাগা হাটিয়া যাইমো,Sylhet
লাইনডা কাই ডা গেছে।,Bogura
আগর ডইল্লা দেইন নো ফার।,Chittagong
আরা গেলাম।,Chittagong
আমার লাইগা একটু দয়া করেন।,Cumilla
আমি চা চড়ায়া দিছি।,Pabna
আইসেন হামার বাড়িত,Rangpur
আফনার বইটা আমরে খরজ দিবায় নি?,Sylhet
তুমি কি পড়বার পছন্দ করো।,Bogura
"যে সুন্দর, ইটা এখটু উপহার দেইন যেন।",Sylhet
আঁই কি আপনার সাহায্য লইতে পারি নি?,Cumilla
তুই কি নতুন কিছু শিখবার চাইস?,Pabna
কয়টা বাজে এহুন,Bogura
আমাগো পাবনাকে ভালোবাসি।,Pabna
তোমার পছন্দের জিনিসডি দেহাও।,Cumilla
মুই আইজ বাইরোত যাবার চাংনা,Rangpur
তোমরা কি মোক কিছু সাহাইজ্জ করবেন?,Rangpur
কি ঠান্ডা/শান্তির ফরিবেশ!,Sylhet
আরে! এত জলদি করছো!,Cumilla
আজিকা থাকি আমিও শুরু করমু,Sylhet
খাওনডা চাইখা দেহো।,Cumilla
পাউঁছাবার যায়া মুই পাগারোত্‌ পন্‌নু।,Rangpur
বন্ধুর/দোস্তর লগে সময় ফার খরো।,Sylhet
আমি কিছু না কই।,Pabna
"কি সুন্দর, এইডা ইকটু উপহার দিন।",Pabna
দরজাটা লাগাও।,Rangpur
আমারে ছাইড়া চইলা গেলা!,Cumilla
তুমি কি প্রায়ই জিমে যাও?,Cumilla
হামারে বাঁচবার দিবো না বারে।,Bogura
ভালোই তো সুন্দর লাগিচ্ছে বারে।,Bogura
আরে হইবার আগে চিন্তা গইজ্জ,Chittagong
আরে কল দে।,Chittagong
আমি কি কবো রে।,Pabna
ফোনত টা ধরো বারে,Bogura
তোর কি নতুন রান্না শিকপের ইচ্ছা আছে?,Rangpur
আমি রাইত তাড়াতাড়ি ঘুমাই-যাই।,Sylhet
তোমার সাহাইজ্জের দরকার আছে।,Rangpur
আইজক্যা হামার ছুটি বারে।,Bogura
আত্তুন গম ন লার।,Chittagong
সবায়গুলা ম্যালা কতা নেকছেন,Rangpur
গাড়ির বেল্টডো লাগাও।,Bogura
কি খাইবা কও,Bogura
তুমি কি গান গাইবার ভালোবাসো।,Bogura
ফোনডা একটু দেন।,Pabna
খরবডা শুনছাও?,Bogura
আঁর পোয়াতি আই,Chittagong
রাইতে গাড়ি।,Cumilla
"বাহ,,সেই তো তোমার গানের গলা ডো।",Bogura
তুই কি ঘুরবের ভালোবাসিশ?,Rangpur
বাহ! তুই তো ভালে পাইস!,Rangpur
এখন দৌড়-মারো।,Sylhet
দয়া করে বেশি কতা কইয়ো না।,Cumilla
তোমার কি কোনো সাহায্য সুবিধা লাগবি বারে?,Bogura
তাড়াতাড়ি কামদা শ্যাষ কইরো,Pabna
কম্পিউটারডা বন্ধ কইরা দে।,Pabna
তুমি খুব ভালা গান গাও।,Cumilla
তোমাক কইলাম আমার এইহানে আইসো,Bogura
ঘুম জাগই।,Chittagong
আমারে অউ খামটা খরতে দেও।,Sylhet
ওহ! এতোকোনা সম্ভব!,Rangpur
তোমার লেখা সেই হইছে।,Cumilla
এইটাই আমার সবথাকি ফছন্দের খাবার।,Sylhet
আমরা দেইখা শুইন্যা চলতে পারি।,Cumilla
পারবো না।,Pabna
তুমরা আবার গেছোনি?,Sylhet
হামি তো কিছুই জানি না।,Bogura
আস্তে আস্তে কতা কও,Pabna
কাপুড়চুপুর গুছে থো,Bogura
আইচ্ছা ! ইয়ান হনে হইয়ে,Chittagong
আইজক্যার কনসার্টডো ভালোই হবি।,Bogura
এই সিনেমাডা সেই সুন্দর।,Bogura
ঠিক টাইমে আইসো,Pabna
বসো সবাই,Pabna
দেখা শুইনা থাইকো বারে।,Bogura
কিছু নতুন শিখো।,Cumilla
তুই কি নতুন কিছু শিকপের চাইশ?,Rangpur
শোদ্ধ করি কতা কওয়া নাগোচে,Rangpur
হাসুন বারে।,Bogura
হগলে অনেক লেখা লেখছেন।,Cumilla
সব ক্যান জানি উল্টাপাল্টা হইতাছে।,Cumilla
আইজ অনেখ মেঘ দের।,Sylhet
আরা চাটগাঁইয়া,Chittagong
আমিও কইতাম পারি।,Sylhet
এক্কানা সময় লই হুনন,Chittagong
আমার কিছু কওয়ার নাই।,Pabna
এলা বেশিরভাগ মাইনষে ঢাকাৎ যায়া অম্পুরের ভাষা কবার পায় নাহ,Rangpur
কি সোন্দর দৃশ্য!,Rangpur
এলা (অ্যালা) দৌড়াও।,Rangpur
তোর পড়ার জাগাডা পরিস্কার কর।,Pabna
আই তুয়ারে বিশ্বাস গরি ন পারির।,Chittagong
একটু পানি দিবেন নি?,Cumilla
আপনার লগে কাম কইরবের চাই।,Pabna
আইজ আমার মনটা কিতারলাগি ভালানায়।,Sylhet
তোরা যা কইবি তাই হুনুম।,Cumilla
আঁইজ্জার দিন নান বেশি ভালা আছিল।,Chittagong
তুমরা যা কইবে তাই শুনব।,Pabna
আমি অনেক মন খারাপ করমু।,Pabna
মুই স্বপন দেখপের লাগছুং না তো!,Rangpur
হাজ এগাত আত্তুন গরিবাল্লাই হনো মন নাই,Chittagong
আরে! তুমিতো অসাধারণ!,Sylhet
এডে বইয়্যো,Chittagong
তুই ক্যানবা কোনোদিন গুরুত্ব দেইস না,Rangpur
ইকটু একা থাকার অনুমতি দিবেন?,Pabna
এনে বসো।,Pabna
পিচ্ছা যাইত যাই আয় পইর/পুসহানাত পরি গিয়ি গই,Chittagong
কী মজার কিসসা,Cumilla
আমি সবার ভাষা শুনে অবাক হইয়া গেছি।,Pabna
"মুরুব্বী অখলে খইন, পুয়াইনতরে বেশি লেখাপড়া করানি বালা নায়।",Sylhet
তোর কামডা আগে শেষ কর।,Pabna
আঁই অনেক বড় মনের মানুষ।,Cumilla
কাইলকা শুক্কুরবার।,Bogura
ওইক্কেচে চুপ থাক,Chittagong
তুমরা রংফুরওর ভাষায় মাত হিকছো নানি?,Sylhet
বেগ্গুন চাটগাঁইয়া ভাষা...,Chittagong
তুই কি বাইর বেড়াইতে যাস?,Pabna
ঠিক সময়ে আও।,Cumilla
উষ্ণ পানি লইয়া আও।,Cumilla
হামাকে জানালি ভালো হবি,Bogura
আঁই যামু না।,Cumilla
তোমার ফছন্দর জিনিসগুন দেখাও।,Sylhet
আচ্ছা এইডা কে কইলো,Pabna
টেবিলডো পরিষ্কার কইরো,Bogura
আই তুর ফোয়াতি ঘুরিতো যাইতো চাই,Chittagong
এইহানে খারাও,Pabna
আমারে আবার বাদ দিল খেনে।,Sylhet
মোক সময়ত জানাও।,Rangpur
আঁরা ইয়াতে এইল্ল্যা ভাষা গরি হতা হইয়ুম,Chittagong
তুই কোনোদিন ঠিক করি কতা কইস না,Rangpur
আরেকবার ক।,Pabna
আঁই ইংরেজি ভাষা জানি না।,Cumilla
হামিও কইবার পারি।,Bogura
পাতাডা উলটাই দে।,Pabna
মুই এলা গেনু,Rangpur
তুই সবার পচন্দের।,Rangpur
হবার আগে জিরানি নাও।,Cumilla
আচ্ছা! এইডা কে কইলো?,Cumilla
আমি যাবো না,Pabna
তোমার সাহাইজ্জ নাগবে।,Rangpur
তার জন্যে আস্তা গুলোত এত কাদো হইল,Rangpur
চাবিডো কুনটি?,Bogura
তুমি কি বিহানে উইঠা ব্যায়াম করো?,Cumilla
এল্লা চা বানাওৃ,Bogura
কামে ঠিকমতো মন দে।,Pabna
হামার বাড়িও অমপুর,Rangpur
হায়।মুই ক্ষেপে গেছি।,Bogura
তুই মেলা কষ্ট করতেছিস।,Rangpur
কী সুন্দর সিনারি,Cumilla
কী অসাধারণ ছবি!,Cumilla
তোক না মাইরে ভাত খাবো না।,Pabna
আই হাইল লাগা পাইরগুম।,Chittagong
তুমি আমাক কইছিলে।,Pabna
তুমার লেহা সেই হইছে।,Pabna
তুমি খুব সৃষ্টিশীল।,Cumilla
তুমরা আইয়া বড় মনর ফরিছয় দেও,Sylhet
দয়া করে জলদি আইবেন।,Cumilla
এইডা পইড়া আমার লজ্জা লাগে!,Pabna
বাইয়ুন আাত্তুন গম লাগে।,Chittagong
আমার অনেক ভাল লাগলো।,Pabna
আমারে ডাক দিও।,Sylhet
তুমি কি গাড়ি চালাইতে পারো?,Cumilla
আমার দেশেও আকাল পড়লো।,Cumilla
হামাক এটি দাঁড়াবার কইলো।,Bogura
আঁই অহনই কুমিল্লা যামু।,Cumilla
তুমি কি নতুন প্রযুক্তির লগে আপডেটেড?,Cumilla
আমার লইগা একটু সময় দেন।,Pabna
দয়া কইরা একটু সাহায্য করেন।,Pabna
আঁরে এক্কানা পরীক্ষা গরি দিবার চন,Chittagong
আমার দীঘিত ঝাঁপায় পড়নের মন চাইছে।,Cumilla
আরে কিছু হ,Chittagong
আরে মাফ গরি দিও,Chittagong
মুই এ্যালায় রংপুর যাইম।,Rangpur
ততক্ষণ গুইয়াকোনা চাবান,Rangpur
কাইলকা পরীক্ষা আছে?,Bogura
আই আর সহ্য গরিত ন পারির,Chittagong
এই জায়গা এন্নান বেশি সু্ন্দর,Chittagong
আমাগো বাড়িত মেহমান আইছে।,Pabna
"ইতাউ কইমু, কউয়াউ লাগবো",Sylhet
এক কাপ কফি বানাও।,Cumilla
ওই তথ্যডা কি আমারে পাঠাইবেন?,Pabna
দ্রুত কাম শেষ কইরো।,Bogura
মোক তোমার বইটা ধার দেন।,Rangpur
তুমি তো সেই সুন্দর।,Bogura
আমি ইংরেজি ভাষা জানি নে।,Pabna
তুই কি খেলাবার চাইশ?,Rangpur
ওই সুন্দর গানের লাইনডা কি আবার কইবেন?,Pabna
আর মন ন বয়ে,Chittagong
আমাগো বাড়িত আজকা গছি মাছ রানছে।,Cumilla
আরে! মুই তে অবাক হয়া গেছনু!,Rangpur
তুই হন্দিন নিজর দোষ ন দেহ,Chittagong
তোমার পছন্দর গানটা গাও।,Sylhet
"ঠিক আছে,রাখি এখন।",Bogura
বাহ! কেদন করি করলু!,Rangpur
কারমাইকেল ক্যাম্পাস যাইম,Rangpur
মুই কি তোমার কথা শুনবের পাইম?,Rangpur
দয়া কইরা এই প্রজেক্টে সাহায্য করেন।,Pabna
একনা আসতে কন।,Rangpur
এইবার খাওন খা।,Pabna
কহনো একা বাইর হইস না।,Pabna
তুই ইংরেজি শিখর নে?,Chittagong
আত্তুন কিছু গম ন লাগের,Chittagong
দুয়ানত্তু কিছু আইন্ন,Chittagong
আইজ বার্ষিকী পালন কর।,Rangpur
সময় গরি হায় লইস,Chittagong
খাবারটা চাখিয়া দেখো।,Sylhet
কি সুন্দর দৃশ্য খান বারে।,Bogura
দয়া করি এটা আরেকবার কইবেন?,Rangpur
তোর পড়ার জাগা পরিষ্কার কর।,Rangpur
আপনার লগে কাম করবার চাই,Bogura
তুই কোনোদিন নিজের ভুল স্বীকার করিস না,Rangpur
